peptide,1,2,3,4,5,6,7,8
CPRP-by-ion,340.187,170.597,114.067,85.803,68.844,57.538,49.462,43.405
SG-CHH-pyro-Q-reduced-by-ion,343.165,172.087,115.06,86.547,69.439,58.034,49.887,43.777
SG-CHH-pyro-Q-reduced-by-ion,344.229,172.619,115.415,86.813,69.652,58.211,50.039,43.91
PO-CHH-reduced-by-ion,345.225,173.116,115.747,87.062,69.851,58.377,50.182,44.035
CPRP-by-ion,358.197,179.603,120.071,90.305,72.446,60.539,52.035,45.656
SG-CHH-pyro-Q-reduced-by-ion,360.192,180.6,120.736,90.804,72.845,60.872,52.32,45.906
SG-CHH-pyro-Q-reduced-by-ion,371.16,186.084,124.392,93.546,75.038,62.7,53.887,47.277
SG-CHH-reduced-by-ion,377.218,189.113,126.411,95.06,76.25,63.71,54.752,48.034
SG-CHH-pyro-Q-reduced-by-ion,388.187,194.597,130.067,97.803,78.444,65.538,56.319,49.405
CPRP-by-ion,399.199,200.103,133.738,100.556,80.646,67.373,57.892,50.782
PO-CHH-reduced-by-ion,399.235,200.121,133.75,100.565,80.653,67.379,57.897,50.786
PO-CHH-pyro-Q-reduced-cz-ion,400.243,200.625,134.086,100.817,80.855,67.547,58.041,50.912
PO-CHH-pyro-Q-reduced-cz-ion,401.251,201.129,134.422,101.069,81.056,67.715,58.185,51.038
PO-CHH-pyro-Q-reduced-cz-ion,402.254,201.631,134.757,101.319,81.257,67.882,58.329,51.164
PO-CHH-pyro-Q-reduced-cz-ion,403.257,202.133,135.091,101.57,81.458,68.049,58.472,51.289
SG-CHH-pyro-Q-reduced-cz-ion,404.205,202.607,135.407,101.807,81.647,68.207,58.607,51.407
SG-CHH-reduced-by-ion,405.213,203.111,135.743,102.059,81.849,68.375,58.751,51.533
SG-CHH-pyro-Q-reduced-cz-ion,406.217,203.612,136.077,102.31,82.05,68.543,58.895,51.659
SG-CHH-pyro-Q-reduced-cz-ion,407.22,204.114,136.412,102.561,82.25,68.71,59.038,51.784
CPRP-by-ion,416.225,208.617,139.414,104.812,84.051,70.211,60.325,52.91
PO-CHH-reduced-by-ion,416.262,208.635,139.426,104.821,84.059,70.217,60.33,52.915
SG-CHH-reduced-cz-ion,421.232,211.12,141.083,106.064,85.053,71.045,61.04,53.536
SG-CHH-reduced-cz-ion,422.24,211.624,141.418,106.316,85.254,71.213,61.184,53.662
SG-CHH-reduced-cz-ion,423.243,212.126,141.753,106.567,85.455,71.38,61.327,53.787
SG-CHH-reduced-cz-ion,424.247,212.627,142.087,106.818,85.656,71.548,61.471,53.913
CPRP-by-ion,426.21,213.609,142.742,107.308,86.048,71.875,61.751,54.158
CPRP-by-ion,427.194,214.101,143.07,107.554,86.245,72.039,61.892,54.281
SG-CHH-pyro-Q-reduced-by-ion,440.287,220.647,147.434,110.828,88.864,74.221,63.762,55.918
SG-CHH-pyro-Q-reduced-cz-ion,441.295,221.151,147.77,111.08,89.065,74.389,63.906,56.044
SG-CHH-pyro-Q-reduced-cz-ion,442.302,221.655,148.106,111.331,89.267,74.557,64.05,56.17
SG-CHH-pyro-Q-reduced-cz-ion,443.306,222.157,148.44,111.582,89.467,74.724,64.193,56.295
CPRP-by-ion,444.22,222.614,148.745,111.811,89.65,74.877,64.324,56.409
SG-CHH-pyro-Q-reduced-cz-ion,444.309,222.658,148.775,111.833,89.668,74.891,64.337,56.42
CPRP-by-ion,456.22,228.614,152.745,114.811,92.05,76.877,66.038,57.909
SG-CHH-pyro-Q-reduced-by-ion,457.313,229.161,153.11,115.084,92.269,77.059,66.194,58.046
SG-CHH-pyro-Q-reduced-by-ion,458.192,229.6,153.403,115.304,92.445,77.205,66.32,58.156
CPRP-cz-ion,460.239,230.623,154.085,115.816,92.854,77.546,66.612,58.412
CPRP-cz-ion,461.247,231.127,154.421,116.068,93.056,77.714,66.756,58.538
CPRP-cz-ion,462.25,231.629,154.755,116.318,93.256,77.882,66.9,58.663
CPRP-cz-ion,463.253,232.131,155.09,116.569,93.457,78.049,67.043,58.788
CPRP-by-ion,473.247,237.127,158.421,119.068,95.456,79.714,68.471,60.038
SG-CHH-pyro-Q-reduced-by-ion,475.219,238.113,159.078,119.561,95.85,80.043,68.752,60.284
CPRP-by-ion,477.246,239.127,159.754,120.067,96.255,80.381,69.042,60.538
CPRP-cz-ion,479.237,240.123,160.418,120.565,96.654,80.713,69.326,60.786
CPRP-cz-ion,480.245,240.627,160.754,120.817,96.855,80.881,69.47,60.912
CPRP-cz-ion,481.249,241.128,161.088,121.068,97.056,81.048,69.614,61.038
CPRP-cz-ion,482.252,241.63,161.423,121.319,97.257,81.215,69.757,61.163
CPRP-by-ion,483.231,242.119,161.749,121.564,97.452,81.378,69.897,61.286
CPRP-by-ion,484.215,242.611,162.077,121.81,97.649,81.542,70.037,61.409
SG-CHH-pyro-Q-reduced-by-ion,485.203,243.105,162.406,122.057,97.847,81.707,70.179,61.532
SG-CHH-pyro-Q-reduced-by-ion,486.187,243.597,162.734,122.303,98.044,81.871,70.319,61.655
SG-CHH-reduced-by-ion,492.245,246.627,164.754,123.817,99.255,82.881,71.185,62.412
CPRP-by-ion,495.256,248.132,165.757,124.57,99.858,83.383,71.615,62.789
CPRP-by-ion,501.242,251.125,167.752,126.066,101.055,84.38,72.47,63.537
SG-CHH-reduced-by-ion,502.23,251.619,168.082,126.313,101.252,84.545,72.611,63.661
SG-CHH-pyro-Q-reduced-by-ion,503.214,252.111,168.41,126.559,101.449,84.709,72.752,63.784
PO-CHH-reduced-by-ion,513.278,257.143,171.765,129.075,103.462,86.386,74.189,65.042
PO-CHH-reduced-by-ion,514.262,257.635,172.093,129.321,103.659,86.55,74.33,65.165
PO-CHH-pyro-Q-reduced-cz-ion,515.27,258.139,172.428,129.573,103.86,86.718,74.474,65.291
PO-CHH-pyro-Q-reduced-cz-ion,516.278,258.643,172.764,129.825,104.062,86.886,74.618,65.417
CPRP-cz-ion,517.26,259.134,173.092,130.071,104.258,87.05,74.758,65.539
PO-CHH-pyro-Q-reduced-cz-ion,517.281,259.144,173.099,130.076,104.262,87.053,74.761,65.542
CPRP-cz-ion,518.268,259.638,173.428,130.323,104.46,87.218,74.902,65.665
PO-CHH-pyro-Q-reduced-cz-ion,518.284,259.646,173.433,130.327,104.463,87.221,74.904,65.667
SG-CHH-pyro-Q-reduced-cz-ion,519.232,260.12,173.749,130.564,104.653,87.379,75.04,65.786
CPRP-cz-ion,519.272,260.14,173.762,130.574,104.661,87.385,75.046,65.791
SG-CHH-reduced-by-ion,520.24,260.624,174.085,130.816,104.854,87.547,75.184,65.912
CPRP-cz-ion,520.275,260.641,174.097,130.825,104.861,87.552,75.189,65.916
SG-CHH-pyro-Q-reduced-cz-ion,521.244,261.126,174.42,131.067,105.055,87.714,75.327,66.037
SG-CHH-pyro-Q-reduced-cz-ion,522.247,261.627,174.754,131.318,105.256,87.881,75.471,66.163
PO-CHH-reduced-by-ion,531.289,266.148,177.768,133.578,107.064,89.388,76.762,67.293
CPRP-by-ion,534.267,267.637,178.761,134.323,107.66,89.884,77.188,67.665
CPRP-cz-ion,536.259,268.633,179.425,134.821,108.058,90.216,77.472,67.914
CPRP-cz-ion,537.267,269.137,179.761,135.073,108.26,90.384,77.616,68.04
CPRP-cz-ion,538.27,269.639,180.095,135.323,108.46,90.552,77.76,68.166
CPRP-cz-ion,539.273,270.141,180.43,135.574,108.661,90.719,77.903,68.291
SG-CHH-pyro-Q-reduced-by-ion,545.224,273.116,182.413,137.062,109.851,91.711,78.753,69.035
CPRP-by-ion,552.278,276.643,184.764,138.825,111.262,92.886,79.761,69.917
SG-CHH-pyro-Q-reduced-by-ion,562.251,281.629,188.089,141.319,113.256,94.548,81.185,71.163
SG-CHH-pyro-Q-reduced-by-ion,568.382,284.695,190.132,142.851,114.483,95.57,82.061,71.93
CPRP-by-ion,569.304,285.156,190.44,143.082,114.667,95.724,82.193,72.045
SG-CHH-pyro-Q-reduced-cz-ion,569.39,285.199,190.468,143.103,114.684,95.738,82.205,72.056
SG-CHH-pyro-Q-reduced-cz-ion,570.397,285.703,190.804,143.355,114.886,95.906,82.349,72.181
SG-CHH-pyro-Q-reduced-cz-ion,571.401,286.204,191.139,143.606,115.086,96.073,82.493,72.307
SG-CHH-pyro-Q-reduced-by-ion,572.235,286.621,191.417,143.815,115.253,96.212,82.612,72.411
SG-CHH-pyro-Q-reduced-cz-ion,572.404,286.706,191.473,143.857,115.287,96.241,82.636,72.432
SG-CHH-pyro-Q-reduced-by-ion,573.219,287.113,191.745,144.061,115.45,96.376,82.752,72.534
SG-CHH-reduced-by-ion,579.277,290.143,193.764,145.575,116.662,97.386,83.618,73.291
SG-CHH-pyro-Q-reduced-by-ion,585.408,293.208,195.808,147.108,117.888,98.408,84.494,74.058
CPRP-by-ion,586.331,293.669,196.115,147.339,118.072,98.562,84.625,74.173
SG-CHH-reduced-by-ion,589.262,295.135,197.092,148.071,118.659,99.05,85.044,74.54
SG-CHH-pyro-Q-reduced-by-ion,590.246,295.627,197.42,148.317,118.855,99.214,85.185,74.663
CPRP-by-ion,596.315,298.661,199.444,149.835,120.069,100.226,86.052,75.421
CPRP-by-ion,597.299,299.153,199.772,150.081,120.266,100.39,86.192,75.544
SG-CHH-pyro-Q-reduced-cz-ion,606.264,303.636,202.76,152.322,122.059,101.884,87.473,76.665
SG-CHH-reduced-by-ion,607.272,304.14,203.096,152.574,122.261,102.052,87.617,76.791
SG-CHH-pyro-Q-reduced-cz-ion,608.276,304.642,203.43,152.825,122.461,102.219,87.76,76.916
SG-CHH-pyro-Q-reduced-cz-ion,609.279,305.143,203.765,153.076,122.662,102.386,87.904,77.042
CPRP-by-ion,614.326,307.667,205.447,154.337,123.671,103.228,88.625,77.673
SG-CHH-reduced-cz-ion,623.291,312.149,208.436,156.579,125.464,104.722,89.905,78.793
SG-CHH-reduced-cz-ion,624.299,312.653,208.771,156.831,125.666,104.89,90.049,78.919
SG-CHH-reduced-cz-ion,625.302,313.155,209.106,157.081,125.867,105.057,90.193,79.045
SG-CHH-reduced-cz-ion,626.306,313.657,209.44,157.332,126.067,105.224,90.336,79.17
CPRP-by-ion,626.326,313.667,209.447,157.337,126.071,105.228,90.339,79.173
CPRP-cz-ion,630.344,315.676,210.787,158.342,126.875,105.897,90.913,79.675
CPRP-cz-ion,631.352,316.18,211.123,158.594,127.077,106.065,91.057,79.801
SG-CHH-pyro-Q-reduced-by-ion,632.256,316.632,211.424,158.82,127.258,106.216,91.186,79.914
CPRP-cz-ion,632.356,316.682,211.457,158.845,127.277,106.233,91.2,79.926
CPRP-cz-ion,633.359,317.183,211.792,159.096,127.478,106.4,91.344,80.052
CPRP-by-ion,635.315,318.161,212.443,159.585,127.869,106.726,91.623,80.296
CPRP-cz-ion,637.307,319.157,213.107,160.083,128.268,107.058,91.908,80.545
CPRP-cz-ion,638.314,319.661,213.443,160.334,128.469,107.226,92.052,80.671
CPRP-cz-ion,639.318,320.163,213.778,160.585,128.67,107.393,92.195,80.797
CPRP-cz-ion,640.321,320.664,214.112,160.836,128.87,107.56,92.338,80.922
CPRP-by-ion,643.352,322.18,215.123,161.594,129.477,108.065,92.771,81.301
SG-CHH-pyro-Q-reduced-by-ion,649.283,325.145,217.099,163.077,130.663,109.054,93.619,82.042
CPRP-by-ion,653.325,327.167,218.447,164.087,131.471,109.727,94.196,82.547
CPRP-by-ion,653.337,327.172,218.451,164.09,131.474,109.729,94.198,82.549
CPRP-by-ion,654.321,327.664,218.779,164.336,131.67,109.893,94.338,82.672
SG-CHH-pyro-Q-reduced-by-ion,659.267,330.137,220.428,165.573,132.66,110.718,95.045,83.29
SG-CHH-pyro-Q-reduced-by-ion,660.251,330.629,220.756,165.819,132.856,110.882,95.185,83.413
SG-CHH-reduced-by-ion,666.309,333.659,222.775,167.333,134.068,111.891,96.051,84.17
PO-CHH-reduced-by-ion,669.379,335.193,223.798,168.101,134.682,112.403,96.489,84.554
PO-CHH-reduced-by-ion,670.363,335.685,224.126,168.347,134.879,112.567,96.63,84.677
CPRP-by-ion,671.347,336.177,224.454,168.593,135.076,112.731,96.771,84.8
PO-CHH-pyro-Q-reduced-cz-ion,671.371,336.189,224.462,168.599,135.08,112.735,96.774,84.803
PO-CHH-pyro-Q-reduced-cz-ion,672.379,336.693,224.798,168.851,135.282,112.903,96.918,84.929
PO-CHH-pyro-Q-reduced-cz-ion,673.382,337.195,225.133,169.101,135.483,113.07,97.061,85.055
PO-CHH-pyro-Q-reduced-cz-ion,674.386,337.697,225.467,169.352,135.683,113.238,97.205,85.18
SG-CHH-reduced-by-ion,676.294,338.651,226.103,169.829,136.065,113.556,97.477,85.419
SG-CHH-pyro-Q-reduced-by-ion,677.278,339.143,226.431,170.075,136.262,113.72,97.618,85.542
CPRP-cz-ion,687.366,344.187,229.794,172.597,138.279,115.401,99.059,86.803
PO-CHH-reduced-by-ion,687.39,344.199,229.802,172.603,138.284,115.405,99.062,86.806
CPRP-cz-ion,688.374,344.691,230.13,172.849,138.481,115.569,99.203,86.929
CPRP-cz-ion,689.377,345.192,230.464,173.1,138.682,115.736,99.346,87.054
CPRP-cz-ion,690.38,345.694,230.799,173.351,138.882,115.903,99.49,87.179
SG-CHH-pyro-Q-reduced-cz-ion,693.296,347.152,231.771,174.08,139.466,116.389,99.906,87.544
SG-CHH-reduced-by-ion,694.304,347.656,232.107,174.332,139.667,116.557,100.05,87.67
