Target Sequence,File Name,MH,M,7
EmptyTargetSequence,EmptyFileName,5706.30296,5705.29512,816.05
EmptyTargetSequence,EmptyFileName,5709.01196,5708.00412,816.437
EmptyTargetSequence,EmptyFileName,5709.01896,5708.01112,816.438
EmptyTargetSequence,EmptyFileName,5709.80996,5708.80212,816.551
EmptyTargetSequence,EmptyFileName,5710.68496,5709.67712,816.676
EmptyTargetSequence,EmptyFileName,5727.07196,5726.06412,819.017
EmptyTargetSequence,EmptyFileName,5731.92996,5730.92212,819.711
EmptyTargetSequence,EmptyFileName,5732.93796,5731.93012,819.855
EmptyTargetSequence,EmptyFileName,5742.06596,5741.05812,821.159
EmptyTargetSequence,EmptyFileName,5742.30396,5741.29612,821.193
EmptyTargetSequence,EmptyFileName,5742.62596,5741.61812,821.239
EmptyTargetSequence,EmptyFileName,5742.82896,5741.82112,821.268
EmptyTargetSequence,EmptyFileName,5743.82996,5742.82212,821.411
EmptyTargetSequence,EmptyFileName,5748.00896,5747.00112,822.008
EmptyTargetSequence,EmptyFileName,5748.93296,5747.92512,822.14
EmptyTargetSequence,EmptyFileName,5755.69496,5754.68712,823.106
EmptyTargetSequence,EmptyFileName,5774.81896,5773.81112,825.838
EmptyTargetSequence,EmptyFileName,5775.80596,5774.79812,825.979
EmptyTargetSequence,EmptyFileName,5776.00196,5774.99412,826.007
EmptyTargetSequence,EmptyFileName,5777.00996,5776.00212,826.151
EmptyTargetSequence,EmptyFileName,5778.85096,5777.84312,826.414
EmptyTargetSequence,EmptyFileName,5781.85396,5780.84612,826.843
EmptyTargetSequence,EmptyFileName,5783.77896,5782.77112,827.118
EmptyTargetSequence,EmptyFileName,5791.00296,5789.99512,828.15
EmptyTargetSequence,EmptyFileName,5805.00996,5804.00212,830.151
EmptyTargetSequence,EmptyFileName,5811.38696,5810.37912,831.062
EmptyTargetSequence,EmptyFileName,5814.38996,5813.38212,831.491
EmptyTargetSequence,EmptyFileName,5819.04496,5818.03712,832.156
EmptyTargetSequence,EmptyFileName,5819.05196,5818.04412,832.157
EmptyTargetSequence,EmptyFileName,5824.51896,5823.51112,832.938
EmptyTargetSequence,EmptyFileName,5827.73896,5826.73112,833.398
EmptyTargetSequence,EmptyFileName,5829.03396,5828.02612,833.583
EmptyTargetSequence,EmptyFileName,5833.04496,5832.03712,834.156
EmptyTargetSequence,EmptyFileName,5836.15296,5835.14512,834.6
EmptyTargetSequence,EmptyFileName,5838.00796,5837.00012,834.865
EmptyTargetSequence,EmptyFileName,5845.35796,5844.35012,835.915
EmptyTargetSequence,EmptyFileName,5846.03696,5845.02912,836.012
EmptyTargetSequence,EmptyFileName,5847.03796,5846.03012,836.155
EmptyTargetSequence,EmptyFileName,5850.81796,5849.81012,836.695
EmptyTargetSequence,EmptyFileName,5862.03896,5861.03112,838.298
